iter	Logloss
0	0.6190124683
1	0.5666095005
2	0.529508955
3	0.5004166164
4	0.4773133524
5	0.4657580344
6	0.4498106281
7	0.4371557343
8	0.4307687309
9	0.4221189692
10	0.4186345647
11	0.4162550508
12	0.4105259327
13	0.4064188754
14	0.4019301339
15	0.3981518692
16	0.3952554424
17	0.3934378463
18	0.3900364651
19	0.3884079322
20	0.3854634574
21	0.3851907709
22	0.3828396744
23	0.3813081377
24	0.3784921196
25	0.3779382599
26	0.3772600581
27	0.3762654508
28	0.3753850701
29	0.3727284121
30	0.3724720987
31	0.3720026766
32	0.3703907742
33	0.3697366607
34	0.3691746144
35	0.3673120134
36	0.366628454
37	0.3655918421
38	0.3644456328
39	0.3636667487
40	0.3633980055
41	0.3625960189
42	0.3614359223
43	0.3604555023
44	0.3602429508
45	0.3593180581
46	0.3586022452
47	0.3579729916
48	0.3573988154
49	0.3565096909
50	0.3562082655
51	0.3557189341
52	0.3553223985
53	0.3548142294
54	0.3542359384
55	0.3537267621
56	0.3533217827
57	0.3530409309
58	0.3525203319
59	0.3523486705
60	0.3521095019
61	0.3516468091
62	0.3513571707
63	0.3503726145
64	0.3485897579
65	0.3480420916
66	0.3469382297
67	0.3465958499
68	0.3460588777
69	0.3454774364
70	0.345110261
71	0.3439096815
72	0.3434855429
73	0.3429846174
74	0.3427693656
75	0.3406053607
76	0.3396035098
77	0.3378840457
78	0.3373426159
79	0.3371324218
80	0.3367630176
81	0.3358847586
82	0.3346001271
83	0.3342329304
84	0.3339655158
85	0.3336626974
86	0.3332462739
87	0.3327486917
88	0.3305947593
89	0.3299251942
90	0.3280282181
91	0.3274815592
92	0.3270371684
93	0.3254849509
94	0.3230495667
95	0.3226380295
96	0.3224679968
97	0.3222973427
98	0.3220330999
99	0.3207117145
