iter	Passed	Remaining
0	0	86
1	1	74
2	2	69
3	2	67
4	3	65
5	3	60
6	4	60
7	5	59
8	5	59
9	6	59
10	7	58
11	7	54
12	8	54
13	8	53
14	9	53
15	9	52
16	10	51
17	11	51
18	11	50
19	12	50
20	13	50
21	13	48
22	14	47
23	14	47
24	15	46
25	15	45
26	16	44
27	17	44
28	17	43
29	18	43
30	19	42
31	19	42
32	20	41
33	21	40
34	21	40
35	22	39
36	22	39
37	23	38
38	24	37
39	24	37
40	25	36
41	26	36
42	26	35
43	27	34
44	27	34
45	28	33
46	29	32
47	29	32
48	30	31
49	30	30
50	31	30
51	32	29
52	32	29
53	33	28
54	34	28
55	34	27
56	35	26
57	36	26
58	36	25
59	37	24
60	38	24
61	38	23
62	39	23
63	39	22
64	40	21
65	41	21
66	41	20
67	42	19
68	43	19
69	43	18
70	44	18
71	44	17
72	45	16
73	46	16
74	46	15
75	47	15
76	48	14
77	48	13
78	49	13
79	50	12
80	50	11
81	51	11
82	52	10
83	52	10
84	53	9
85	54	8
86	54	8
87	55	7
88	56	6
89	56	6
90	57	5
91	58	5
92	58	4
93	59	3
94	59	3
95	60	2
96	61	1
97	61	1
98	62	0
99	62	0
